1,Lookup,Succeeded,50,0.076321
2,Lookup,Succeeded,74,0.122157
3,Lookup,Succeeded,3,0.003474
4,Lookup,Succeeded,11,0.016760
5,Lookup,Succeeded,29,0.049925
6,Lookup,Succeeded,83,0.137165
7,Lookup,Succeeded,45,0.078304
8,Lookup,Succeeded,21,0.036033
9,Lookup,Succeeded,24,0.039394
10,Lookup,Succeeded,36,0.059926
11,Lookup,Succeeded,80,0.123038
12,Lookup,Succeeded,21,0.034643
13,Lookup,Succeeded,52,0.077882
14,Lookup,Succeeded,66,0.105856
15,Lookup,Succeeded,21,0.029048
16,Lookup,Succeeded,26,0.038444
17,Lookup,Succeeded,24,0.037573
18,Lookup,Succeeded,15,0.024109
19,Lookup,Succeeded,24,0.038237
20,Lookup,Succeeded,22,0.055647
21,Lookup,Succeeded,77,0.111460
22,Lookup,Succeeded,73,0.127223
23,Lookup,Succeeded,8,0.011296
24,Lookup,Succeeded,24,0.042925
25,Lookup,Succeeded,14,0.023052
26,Lookup,Succeeded,0,0.000000
27,Lookup,Succeeded,46,0.074667
28,Lookup,Succeeded,14,0.027306
29,Lookup,Succeeded,24,0.044553
30,Lookup,Succeeded,58,0.095390
31,Lookup,Succeeded,24,0.039090
32,Lookup,Succeeded,9,0.016853
33,Lookup,Succeeded,57,0.104924
34,Lookup,Succeeded,8,0.015765
35,Lookup,Succeeded,17,0.026895
36,Lookup,Succeeded,7,0.009996
37,Lookup,Succeeded,25,0.056503
38,Lookup,Succeeded,59,0.130410
39,Lookup,Succeeded,7,0.013413
40,Lookup,Succeeded,72,0.114676
41,Lookup,Succeeded,44,0.085173
42,Lookup,Succeeded,40,0.073714
43,Lookup,Succeeded,28,0.054771
44,Lookup,Succeeded,13,0.025773
45,Lookup,Succeeded,40,0.082001
46,Lookup,Succeeded,57,0.102899
47,Lookup,Succeeded,8,0.011094
48,Lookup,Succeeded,56,0.095062
49,Lookup,Succeeded,78,0.110118
50,Lookup,Succeeded,75,0.105792
51,Lookup,Succeeded,69,0.101478
52,Lookup,Succeeded,84,0.131206
53,Lookup,Succeeded,8,0.009960
54,Lookup,Succeeded,6,0.008403
55,Lookup,Succeeded,1,0.001660
56,Lookup,Succeeded,69,0.105434
57,Lookup,Succeeded,54,0.080229
58,Lookup,Succeeded,48,0.069481
59,Lookup,Succeeded,83,0.129130
60,Lookup,Succeeded,4,0.004805
61,Lookup,Succeeded,78,0.116844
62,Lookup,Succeeded,24,0.033719
63,Lookup,Succeeded,84,0.116650
64,Lookup,Succeeded,44,0.060623
65,Lookup,Succeeded,57,0.162358
66,Lookup,Succeeded,25,0.061752
67,Lookup,Succeeded,62,0.169566
68,Lookup,Succeeded,10,0.030536
69,Lookup,Succeeded,40,0.117526
70,Lookup,Succeeded,82,0.223276
71,Lookup,Succeeded,25,0.061867
72,Lookup,Succeeded,30,0.057166
73,Lookup,Succeeded,37,0.073725
74,Lookup,Succeeded,43,0.084313
75,Lookup,Succeeded,6,0.009996
76,Lookup,Succeeded,41,0.086478
77,Lookup,Succeeded,85,0.176712
78,Lookup,Succeeded,29,0.048041
79,Lookup,Succeeded,14,0.028621
80,Lookup,Succeeded,62,0.115006
81,Lookup,Succeeded,33,0.061777
82,Lookup,Succeeded,82,0.131716
83,Lookup,Succeeded,78,0.136986
84,Lookup,Succeeded,48,0.079392
85,Lookup,Succeeded,2,0.005661
86,Lookup,Succeeded,48,0.090016
87,Lookup,Succeeded,82,0.153835
88,Lookup,Succeeded,63,0.113763
89,Lookup,Succeeded,85,0.158987
90,Lookup,Succeeded,76,0.128419
91,Lookup,Succeeded,63,0.096731
92,Lookup,Succeeded,81,0.141789
93,Lookup,Succeeded,38,0.056543
94,Lookup,Succeeded,7,0.010130
95,Lookup,Succeeded,39,0.074155
96,Lookup,Succeeded,61,0.092675
97,Lookup,Succeeded,45,0.072470
98,Lookup,Succeeded,61,0.106518
99,Lookup,Succeeded,25,0.039623
100,Lookup,Succeeded,30,0.066070
101,Lookup,Succeeded,34,0.063760
102,Lookup,Succeeded,61,0.089565
103,Lookup,Succeeded,49,0.079570
104,Lookup,Succeeded,37,0.060814
105,Lookup,Succeeded,45,0.073865
106,Lookup,Succeeded,28,0.053458
107,Lookup,Succeeded,16,0.020996
108,Lookup,Succeeded,71,0.108858
109,Lookup,Succeeded,20,0.030108
110,Lookup,Succeeded,40,0.064352
111,Lookup,Succeeded,61,0.098356
112,Lookup,Succeeded,66,0.094554
113,Lookup,Succeeded,33,0.057132
114,Lookup,Succeeded,36,0.061054
115,Lookup,Succeeded,48,0.095101
116,Lookup,Succeeded,28,0.058135
117,Lookup,Succeeded,58,0.100573
118,Lookup,Succeeded,78,0.131220
119,Lookup,Succeeded,49,0.081265
120,Lookup,Succeeded,65,0.109213
121,Lookup,Succeeded,26,0.039308
122,Lookup,Succeeded,0,0.000000
123,Lookup,Succeeded,51,0.087349
124,Lookup,Succeeded,24,0.034829
125,Lookup,Succeeded,57,0.088631
126,Lookup,Succeeded,65,0.103742
127,Lookup,Succeeded,19,0.026479
128,Lookup,Succeeded,22,0.030536
129,Lookup,Succeeded,16,0.025394
130,Lookup,Succeeded,38,0.063556
131,Lookup,Succeeded,34,0.067071
132,Lookup,Succeeded,67,0.098673
133,Lookup,Succeeded,24,0.036761
134,Lookup,Succeeded,15,0.022370
135,Lookup,Succeeded,38,0.064201
136,Lookup,Succeeded,53,0.079098
137,Lookup,Succeeded,62,0.094942
138,Lookup,Succeeded,1,0.001300
139,Lookup,Succeeded,82,0.137136
140,Lookup,Succeeded,31,0.044478
